title,image,description
Loi « bien vieillir » : les députés adoptent des propositions pour le grand âge mais demandent des « moyens »,https://img.lemde.fr/2023/07/20/0/0/4387/2924/110/73/60/0/69714fa_1689868918566-abacanewsroy-861217-008.jpg,"Les députés reprendront, mardi, par l’examen d’autres amendements sur les Ehpad, visant à tirer des leçons du scandale Orpea."
"Abandons de poste : entre faux licenciement et vraie démission, le flou juridique demeure",https://img.lemde.fr/2023/11/20/1039/0/3778/2518/110/73/60/0/fc145dd_1700490463083-pns-5651568.jpg,"S’il est désormais inscrit dans la loi qu’un abandon de poste correspond non plus à un licenciement pour faute, mais à une démission, rappelle le juriste Jean-Emmanuel Ray dans sa chronique, il est encore théoriquement possible pour un employeur de licencier son salarié, pour qu’il puisse notamment bénéficier des allocations-chômage."
"Ces vingtenaires qui se détournent de l’alcool : « Tu as l’impression que c’est un anxiolytique rapide, mais, le lendemain, tu doubles ton angoisse »",https://img.lemde.fr/2023/11/20/90/0/7543/5028/110/73/60/0/95c0deb_1700474360004-sobriei-tei-clr.jpg,"Alors que la vie étudiante et les premières années de vie active sont associées aux sorties où l’alcool semble central, certains jeunes décident de ne plus boire. Ils explorent les effets bénéfiques d’une sobriété qui leur permet de se reconnecter à eux-mêmes et aux autres."
Les pharmaciens alertent sur le malaise de l’officine,https://img.lemde.fr/2023/11/20/0/0/5439/3626/110/73/60/0/3e91b03_1700463729972-000-32lp7vb.jpg,"L’intersyndicale, qui réunit pharmaciens et étudiants en pharmacie, appelle à une journée de mobilisation nationale le 21 novembre. La profession veut mettre la pression sur le gouvernement, alors que doivent prochainement s’ouvrir des négociations sur les conditions d’exercice et de rémunération du réseau."
La députée Sandrine Josso veut sensibiliser au « fléau » de la soumission chimique après avoir été droguée à son insu,https://img.lemde.fr/2023/11/20/0/0/4828/3219/110/73/60/0/9f14962_1700511004161-000-33y33gm.jpg,"« On ne peut plus détourner le regard », a déclaré la députée de Loire-Atlantique. Elle a porté plainte la semaine dernière contre le sénateur Joël Guerriau, mis en examen pour « administration de substance afin de commettre un viol ou une agression sexuelle »."
La proposition de loi « bien vieillir » revient à l’Assemblée avec la promesse d’une loi de programmation sur le grand âge,https://img.lemde.fr/2023/11/20/1/0/8192/5461/110/73/60/0/bf77199_1700463152513-943741.jpg,"Après un début de lecture interrompu en avril, la proposition de loi macroniste est de retour à l’Assemblée nationale lundi 20 novembre. Le gouvernement a annoncé vendredi qu’il s’engageait à traduire en actes un amendement adopté au printemps et prévoyant une loi de programmation pluriannuelle sur le sujet, sans toutefois répondre à la question de son financement."
Soigner ou ne pas soigner ? Dans les coulisses du Centre d’éthique clinique de l’AP-HP,https://img.lemde.fr/2023/11/18/0/0/2125/1417/110/73/60/0/4e3075d_1700299539461-le-monde-comite-ethique-hd.jpg,"Depuis plus de vingt ans, au sein du Centre d’éthique clinique parisien de l’AP-HP, un groupe pluridisciplinaire, constitué de médecins, de juristes ou de philosophes, tous issus de la société civile, travaille à éclairer les dilemmes éthiques qui opposent parfois les soignants et les proches attachés à un patient."
"« Travailleurs du soin, unissons-nous contre la suppression programmée de l’aide médicale d’Etat »",https://img.lemde.fr/2022/12/19/0/0/2500/1666/110/73/60/0/0c3d6a7_1671491838785-eleonora-strano-covid-nice-fin2020-20.jpg,"Dans une tribune au « Monde », le médecin Philippe Bizouarn s’indigne de la suppression de l’aide médicale d’Etat, destinée aux sans-papiers, votée par le Sénat le 7 novembre. Le supposé tourisme médical n’existe pas, rappelle-t-il."
Assurance santé : puis-je garder ma mutuelle d’entreprise à la retraite ?,https://img.lemde.fr/2023/04/18/0/0/3000/2000/110/73/60/0/a61890c_1681830091357-hjuy.jpg,"Le nouveau retraité a le droit de conserver sa complémentaire santé, mais ne pourra bénéficier des tarifs négociés par l’entreprise que durant un an, explique Olivier Moustacakis, cofondateur d’Assurland.com."
"Comment le ministre de la santé, Aurélien Rousseau, tente d’imprimer sa marque",https://img.lemde.fr/2023/11/17/0/0/6328/4219/110/73/60/0/6e3e30f_1700234567165-940271.jpg,"Aide médicale d’Etat, « doublement » des franchises, pénuries de médicaments, système de soin sous tension… Quatre mois après son installation Avenue de Ségur, le ministre de la santé doit se positionner sur des dossiers sensibles. Après une rentrée discrète, il défend son cap."
"Les « patients partenaires », quand les malades du cancer deviennent experts",https://img.lemde.fr/2023/11/16/212/0/3500/2333/110/73/60/0/9127c10_1700128162636-pink-vill0331513.jpg,"Les « pairs aidants », apparus au Canada, se développent en France depuis la fin des années 1990. Leur présence dans les services hospitaliers ou associations a contribué à parfaire les rapports entre médecins et patients."
Prévention : les « bilans » de santé aux âges-clés de la vie se font attendre,https://img.lemde.fr/2023/11/17/0/0/5860/3906/110/73/60/0/5b10d1d_1700234764531-940190.jpg,"La mesure, inscrite dans le précédent budget de la Sécurité sociale, n’est pas encore en place. Le gouvernement a souhaité commencer par une expérimentation."
De nouvelles pistes de traitement contre la tuberculose,https://img.lemde.fr/2023/11/17/0/34/4380/2920/110/73/60/0/b18ccac_1700239273625-000-13e35c.jpg,"Présentées cette semaine à Paris, des combinaisons de médicaments et une molécule encore en développement pourraient alléger les traitements des personnes atteintes des formes les plus sévères de la maladie."
"Quand on n’arrive pas à faire un bébé, on fait quoi ?",https://img.lemde.fr/2023/10/30/72/0/3004/2002/110/73/60/0/874c3ca_1698676158545-3.jpg,"« (In)fertile » (3/10). Lorsque les couples ne parviennent pas à concevoir naturellement, des techniques médicales existent pour les aider. A l’instar de la PMA."
"Cancer : le temps des témoignages, sur les réseaux, sur scène ou dans des podcasts",https://img.lemde.fr/2023/11/03/136/133/3341/2227/110/73/60/0/4a3bfd6_1699029585419-patients-partenaires-2.jpg,"Ces dernières années, des personnalités ont contribué à lever le tabou sur la maladie. Entraînant dans leur sillage de jeunes anonymes qui partagent le récit de leur combat, du diagnostic aux traitements."
"Face à la résistance aux antibiotiques, la France présente une évolution contrastée",https://img.lemde.fr/2023/11/17/269/279/4365/2910/110/73/60/0/6677a17_1700240333143-000-1qf31a.jpg,"L’Hexagone reste l’un des mauvais élèves de l’Europe sur le plan de la consommation humaine, avec des prescriptions en médecine de ville qui sont reparties à la hausse, en 2022, au sortir du Covid-19. L’exposition des animaux, elle, poursuit sa baisse."
